lat,lon,depth,unc,etype,ID,mag,time,S1,D1,R1,S2,D2,R2,src,slab2str,slab2dip,slab2rak,mrr,mtt,mpp,mrt,mrp,mtp,mrrS,mttS,mppS,mrtS,mrpS,mtpS,kagan,depdiff,slab2dep,mlon,mlat,mdep
40.267,235.627,22.329,15.0,EQ,2700126,4.24,2014-10-19 14:24:04.460,247.816,48.48,63.69,104.536,47.843,116.594,090821,45.611572265625,15.379440307617188,90.0,2.5662211503700203e+22,-2.8696119448648645e+22,3.033907944948435e+21,2.986004764076666e+20,-9.02912249987074e+21,-2.1305097266625252e+21,1.4749695159384194e+22,-7.532273125195338e+21,-7.217422034188855e+21,-1.771046818628215e+22,-1.7336365836893281e+22,-7.37316716352704e+21,49.01624756362528,3.791484832763672,-20.208515167236328,235.639,40.278,24.0
40.288,235.701,9.14,15.0,EQ,2700174,4.03,2017-06-24 21:22:03.060,120.486,51.851,130.395,246.464,53.207,50.477,090821,46.961917877197266,14.382316589355469,90.0,1.0332016079746829e+22,-1.389517246533164e+22,3.563156385584813e+21,-6.650449146584903e+20,-6.094995371784485e+21,1.063944493112411e+21,6.719501427800001e+21,-3.589659576713027e+21,-3.1298418510869745e+21,-8.946671625646518e+21,-8.354030605668895e+21,-3.3518751131794255e+21,55.4727887087404,-9.719999313354492,-20.719999313354492,235.708,40.292,11.0
40.355,235.522,18.066,15.0,EQ,2700233,3.8,1995-10-14 16:51:14.600,245.652,47.46,105.471,43.389,44.756,73.791,090821,36.98581314086914,13.614860534667969,90.0,6.058544031831211e+21,-4.097166601073344e+21,-1.961377430757867e+21,-9.44292378882546e+20,8.217140985125382e+20,-3.0941798937040687e+21,2.887003585676805e+21,-1.0449316727241952e+21,-1.84207191295261e+21,-3.37527802640716e+21,-4.481453513771187e+21,-1.387385773777369e+21,38.071184021508586,0.9316196441650391,-17.06838035583496,235.52100000000002,40.355,18.0
40.316,235.445,21.296,15.0,EQ,2700273,4.2,1997-12-15 22:42:42.110,44.405,16.494,66.681,248.611,74.887,96.685,090821,29.8122615814209,17.050357818603516,90.0,1.2559155108845072e+22,-8.971607316922788e+21,-3.5875477919222837e+21,-2.034977813955094e+22,-7.151354564997401e+21,-6.336852137199963e+21,1.4082874628968546e+22,-3.4808320598255594e+21,-1.0602042569142988e+22,-1.034080117028648e+22,-1.8047099983696969e+22,-6.074860465418794e+21,37.528746223589685,4.83906364440918,-16.16093635559082,235.445,40.317,21.0
40.367,235.529,17.435,15.0,EQ,2700317,4.1,2000-08-13 18:17:48.770,92.5,44.727,119.987,233.416,52.445,63.662,090821,36.98581314086914,13.614860534667969,90.0,1.540166908931345e+22,-1.5917496367175105e+22,5.1582727786165305e+20,-4.220725799611133e+20,-6.30215744937831e+21,-5.559707067747564e+21,8.136681628370769e+21,-2.9450175907434815e+21,-5.191664037627287e+21,-9.512825977897895e+21,-1.2630452090467804e+22,-3.910184383893257e+21,43.53518007500333,-9.068380355834961,-17.06838035583496,235.529,40.367,8.0
41.188,235.784,15.66,15.0,EQ,2700444,4.6,2008-08-17 05:56:59.370,159.174,78.834,84.402,6.02,12.475,116.299,090821,18.71102523803711,7.932284832000732,90.0,3.781606706149236e+22,1.5803311162765987e+21,-3.939639817776895e+22,3.4495324114282703e+22,-8.537230071827053e+22,5.415588833259968e+21,2.7336444858925677e+22,-2.8131824548554683e+21,-2.452326240407021e+22,-3.0857633378268548e+22,-9.110721840099872e+22,-8.305926289761247e+21,39.11371837886296,3.2192001342773438,-14.780799865722656,235.803,41.183,18.0
40.307,235.50400000000002,7.66,15.0,EQ,2700890,4.19,2019-02-03 23:43:21.810,177.516,73.968,96.754,334.305,17.362,67.741,090821,32.791542053222656,14.075623512268066,90.0,1.2792654855581137e+22,-2.615597789892026e+20,-1.253109507659193e+22,9.766505487801934e+19,-2.043670225870333e+22,3.2864768197054914e+21,1.1448763240946795e+22,-3.3580752124777107e+21,-8.090688028469086e+21,-1.158748906939676e+22,-1.7986093869291058e+22,-5.212402413503028e+21,37.63101569122084,-12.71773910522461,-17.71773910522461,235.50400000000002,40.307,5.0
40.252,235.714,8.32,15.0,EQ,2701227,6.0,1991-08-17 19:29:40.000,172.595,72.875,104.567,311.166,22.34,50.776,090821,28.251312255859375,14.629890441894531,90.0,6.857531741296792e+24,-8.873887059028714e+23,-5.970143035393921e+24,3.7347526597347724e+23,-1.0107799928697479e+25,3.801882690533986e+24,6.153251963160741e+24,-1.378639832909307e+24,-4.774612130251435e+24,-5.198702704220609e+24,-9.6747247876671e+24,-2.5656325671180175e+24,42.040201194316715,0.3605813980102539,-14.639418601989746,235.62,40.02,15.0
40.335,235.77100000000002,9.856,15.0,EQ,2701232,7.2,1992-04-25 18:06:05.180,331.515,8.717,68.287,173.457,81.905,93.247,090821,26.504362106323242,12.626350402832031,90.0,2.2110084924354325e+26,-1.2952761092655151e+25,-2.0814808815088807e+26,8.048166389777365e+25,-7.573710640397996e+26,6.84077812325639e+25,3.388694592971442e+26,-6.74869692323448e+25,-2.7138249006479938e+26,-3.206056161134996e+26,-6.429128035374189e+26,-1.3533211650306898e+26,34.071894304165,1.146897315979004,-13.853102684020996,235.69,40.25,15.0
44.334,235.511,28.75,15.0,EQ,2701300,4.9,2004-07-12 16:45:00.780,23.089,27.151,112.238,178.411,65.014,79.016,090821,354.4286193847656,10.197429656982422,90.0,2.118576858864354e+23,2.536674212447217e+21,-2.143943600988826e+23,2.7610730524688813e+22,-1.7725011656529695e+23,-4.272399204426451e+22,9.821724934153347e+22,-9.257610773728062e+20,-9.729148826416066e+22,2.5647222304284487e+22,-2.62922831629904e+23,9.490451674953784e+21,19.51678132110742,6.699999809265137,-13.300000190734863,235.29000000000002,44.3,20.0
